Languages,	Evaluation results
Avg,	0.41
vie_Latn,	0.86
tgk_Cyrl,	0.56
som_Latn,	0.46
heb_Hebr,	0.29
tha_Thai,	0.36
kas_Arab,	0.02
taq_Latn,	0.36
lao_Laoo,	0.26
acm_Arab,	0.04
apc_Arab,	0.17
arb_Arab,	0.12
fra_Latn,	0.6
tur_Latn,	0.15
min_Latn,	0.29
xho_Latn,	0.2
azj_Latn,	0.21
mya_Mymr,	0.17
ita_Latn,	0.47
hun_Latn,	0.53
hat_Latn,	0.64
glg_Latn,	0.39
eus_Latn,	0.35
smo_Latn,	2.67
kaz_Cyrl,	0.15
ars_Arab,	0.1
aeb_Arab,	0.07
yor_Latn,	0.37
ckb_Arab,	0.11
hin_Deva,	0.58
min_Arab,	0.15
gle_Latn,	1
pol_Latn,	0.44
nob_Latn,	0.66
guj_Gujr,	0.73
ltz_Latn,	0.37
sin_Sinh,	0.16
jav_Latn,	0.5
arz_Arab,	0.11
sot_Latn,	1.01
sna_Latn,	0.1
dan_Latn,	0.7
mar_Deva,	0.23
slk_Latn,	0.53
tel_Telu,	0.1
acq_Arab,	0.06
mal_Mlym,	0.1
snd_Arab,	0.37
ces_Latn,	0.44
cat_Latn,	0.59
afr_Latn,	1
ace_Arab,	0.02
gla_Latn,	1.2
ace_Latn,	0.34
srp_Cyrl,	0.25
mni_Beng,	0.22
slv_Latn,	0.76
als_Latn,	0.76
ell_Grek,	0.36
knc_Arab,	0.02
nso_Latn,	1.02
pbt_Arab,	0.2
zho_Hant,	0.06
epo_Latn,	0.4
plt_Latn,	0.56
bjn_Latn,	0.3
ajp_Arab,	0.1
amh_Ethi,	0.07
bel_Cyrl,	0.36
cym_Latn,	0.78
swe_Latn,	0.55
yue_Hant,	0.08
nld_Latn,	0.67
kir_Cyrl,	0.29
pes_Arab,	0.47
ben_Beng,	0.13
khk_Cyrl,	0.26
lvs_Latn,	0.59
ibo_Latn,	0.54
ukr_Cyrl,	0.33
por_Latn,	0.4
khm_Khmr,	0.18
ron_Latn,	0.68
uzn_Latn,	0.3
kan_Knda,	0.12
hau_Latn,	0.76
lit_Latn,	0.4
arb_Latn,	0.23
rus_Cyrl,	0.34
mkd_Cyrl,	0.34
ceb_Latn,	0.89
kat_Geor,	0.26
ydd_Hebr,	0.45
mri_Latn,	1.84
ind_Latn,	0.48
zsm_Latn,	0.39
urd_Arab,	0.72
azb_Arab,	0.08
bul_Cyrl,	0.59
knc_Latn,	0.14
zul_Latn,	0.24
jpn_Jpan,	0.07
mlt_Latn,	0.19
fin_Latn,	0.47
npi_Deva,	0.22
bjn_Arab,	0.04
kmr_Latn,	0.41
deu_Latn,	0.45
zho_Hans,	0.06
est_Latn,	0.53
kor_Hang,	0.18
tam_Taml,	0.11
sun_Latn,	0.21
nno_Latn,	0.65
eng_Latn,	0.37
swh_Latn,	0.29
isl_Latn,	0.47
hye_Armn,	0.45
spa_Latn,	0.49
ary_Arab,	0.09
